t,3 mm,t,4 mm,t,5 mm,t,6.5 mm,t,8 mm,t,10 mm,t,11.5 mm,t,15 mm
,,4.99E-07,1.00156,4.99E-07,1.00148,4.99E-07,1.05371,4.99E-07,1.11121,4.99E-07,1.54574,4.99E-07,1.48881,4.99E-07,1.57182
,,5.00E-07,1.00155,5.00E-07,1.00138,5.00E-07,1.05288,5.00E-07,1.10623,5.00E-07,1.54393,5.00E-07,1.48738,5.00E-07,1.57213
,,5.01E-07,1.00155,5.01E-07,1.0013,5.01E-07,1.05156,5.01E-07,1.10162,5.01E-07,1.54321,5.01E-07,1.49614,5.01E-07,1.5724
,,5.02E-07,1.00154,5.02E-07,1.00122,5.02E-07,1.05007,5.02E-07,1.09708,5.02E-07,1.52744,5.02E-07,1.49445,5.02E-07,1.57266
,,5.03E-07,1.00153,5.03E-07,1.00114,5.03E-07,1.04813,5.03E-07,1.0928,5.03E-07,1.53833,5.03E-07,1.50082,5.03E-07,1.57285
,,5.04E-07,1.00152,5.04E-07,1.00108,5.04E-07,1.04634,5.04E-07,1.08862,5.04E-07,1.53625,5.04E-07,1.50468,5.04E-07,1.57297
,,5.05E-07,1.00152,5.05E-07,1.00101,5.05E-07,1.04459,5.05E-07,1.08459,5.05E-07,1.5311,5.05E-07,1.50203,5.05E-07,1.57308
,,5.06E-07,1.00151,5.06E-07,1.00096,5.06E-07,1.04251,5.06E-07,1.08076,5.06E-07,1.52445,5.06E-07,1.50738,5.06E-07,1.57315
,,5.07E-07,1.00151,5.07E-07,1.0009,5.07E-07,1.04124,5.07E-07,1.07698,5.07E-07,1.51511,5.07E-07,1.51496,5.07E-07,1.57313
,,5.08E-07,1.0015,5.08E-07,1.00085,5.08E-07,1.04051,5.08E-07,1.07346,5.08E-07,1.51705,5.08E-07,1.51766,5.08E-07,1.57322
,,5.09E-07,1.00149,5.09E-07,1.0008,5.09E-07,1.04067,5.09E-07,1.07005,5.09E-07,1.51343,5.09E-07,1.51939,5.09E-07,1.57301
,,5.10E-07,1.00149,5.10E-07,1.0007,5.10E-07,1.0415,5.10E-07,1.06671,5.10E-07,1.50759,5.10E-07,1.52161,5.10E-07,1.57301
,,5.11E-07,1.00148,5.11E-07,1.00142,5.11E-07,1.04272,5.11E-07,1.06359,5.11E-07,1.50567,5.11E-07,1.52468,5.11E-07,1.57284
,,5.12E-07,1.00147,5.12E-07,1.00172,5.12E-07,1.04417,5.12E-07,1.06048,5.12E-07,1.49968,5.12E-07,1.52838,5.12E-07,1.57255
,,5.13E-07,1.00147,5.13E-07,1.0018,5.13E-07,1.04586,5.13E-07,1.05754,5.13E-07,1.49291,5.13E-07,1.53092,5.13E-07,1.57246
,,5.14E-07,1.00146,5.14E-07,1.00182,5.14E-07,1.04751,5.14E-07,1.05471,5.14E-07,1.48212,5.14E-07,1.52691,5.14E-07,1.57223
,,5.15E-07,1.00145,5.15E-07,1.00182,5.15E-07,1.04907,5.15E-07,1.05198,5.15E-07,1.47666,5.15E-07,1.52844,5.15E-07,1.57173
,,5.16E-07,1.00145,5.16E-07,1.00181,5.16E-07,1.05043,5.16E-07,1.04937,5.16E-07,1.46835,5.16E-07,1.53768,5.16E-07,1.57142
,,5.17E-07,1.00144,5.17E-07,1.0018,5.17E-07,1.05153,5.17E-07,1.04681,5.17E-07,1.4574,5.17E-07,1.52978,5.17E-07,1.57116
,,5.18E-07,1.00144,5.18E-07,1.0018,5.18E-07,1.05232,5.18E-07,1.04442,5.18E-07,1.44746,5.18E-07,1.54062,5.18E-07,1.57087
,,5.19E-07,1.00143,5.19E-07,1.00179,5.19E-07,1.05274,5.19E-07,1.04203,5.19E-07,1.43543,5.19E-07,1.53129,5.19E-07,1.57025
,,5.20E-07,1.00142,5.20E-07,1.00178,5.20E-07,1.05283,5.20E-07,1.03982,5.20E-07,1.4216,5.20E-07,1.54533,5.20E-07,1.56967
,,5.21E-07,1.00142,5.21E-07,1.00177,5.21E-07,1.05264,5.21E-07,1.03761,5.21E-07,1.40577,5.21E-07,1.5446,5.21E-07,1.56906
,,5.22E-07,1.00141,5.22E-07,1.00177,5.22E-07,1.05202,5.22E-07,1.03551,5.22E-07,1.37811,5.22E-07,1.54096,5.22E-07,1.56842
,,5.23E-07,1.00141,5.23E-07,1.00176,5.23E-07,1.05103,5.23E-07,1.03348,5.23E-07,1.37897,5.23E-07,1.53881,5.23E-07,1.56783
,,5.24E-07,1.0014,5.24E-07,1.00175,5.24E-07,1.0497,5.24E-07,1.0324,5.24E-07,1.37937,5.24E-07,1.53917,5.24E-07,1.56718
,,5.25E-07,1.00139,5.25E-07,1.00174,5.25E-07,1.04815,5.25E-07,1.03323,5.25E-07,1.37928,5.25E-07,1.54228,5.25E-07,1.56647
,,5.26E-07,1.00139,5.26E-07,1.00174,5.26E-07,1.04632,5.26E-07,1.03402,5.26E-07,1.37866,5.26E-07,1.54805,5.26E-07,1.56572
,,5.27E-07,1.00138,5.27E-07,1.00173,5.27E-07,1.04433,5.27E-07,1.03478,5.27E-07,1.37749,5.27E-07,1.55383,5.27E-07,1.56492
,,5.28E-07,1.00138,5.28E-07,1.00172,5.28E-07,1.04217,5.28E-07,1.03552,5.28E-07,1.37574,5.28E-07,1.54742,5.28E-07,1.56406
,,5.29E-07,1.00137,5.29E-07,1.00172,5.29E-07,1.03979,5.29E-07,1.03622,5.29E-07,1.37338,5.29E-07,1.5518,5.29E-07,1.56321
,,5.30E-07,1.00137,5.30E-07,1.00171,5.30E-07,1.03736,5.30E-07,1.0369,5.30E-07,1.37038,5.30E-07,1.54713,5.30E-07,1.56233
,,5.31E-07,1.00136,5.31E-07,1.0017,5.31E-07,1.03485,5.31E-07,1.03754,5.31E-07,1.36671,5.31E-07,1.55576,5.31E-07,1.56155
,,5.32E-07,1.00135,5.32E-07,1.00169,5.32E-07,1.03225,5.32E-07,1.03816,5.32E-07,1.36233,5.32E-07,1.55322,5.32E-07,1.56067
,,5.33E-07,1.00135,5.33E-07,1.00169,5.33E-07,1.02968,5.33E-07,1.03875,5.33E-07,1.3572,5.33E-07,1.55088,5.33E-07,1.55975
,,5.34E-07,1.00134,5.34E-07,1.00168,5.34E-07,1.02719,5.34E-07,1.03931,5.34E-07,1.35127,5.34E-07,1.55167,5.34E-07,1.55834
,,5.35E-07,1.00134,5.35E-07,1.00167,5.35E-07,1.02474,5.35E-07,1.03985,5.35E-07,1.34446,5.35E-07,1.55431,5.35E-07,1.55725
,,5.36E-07,1.00133,5.36E-07,1.00167,5.36E-07,1.02237,5.36E-07,1.04036,5.36E-07,1.33665,5.36E-07,1.55005,5.36E-07,1.55636
,,5.37E-07,1.00133,5.37E-07,1.00166,5.37E-07,1.02012,5.37E-07,1.04085,5.37E-07,1.32754,5.37E-07,1.54798,5.37E-07,1.5553
,,5.38E-07,1.00132,5.38E-07,1.00165,5.38E-07,1.01795,5.38E-07,1.04132,5.38E-07,1.31621,5.38E-07,1.54576,5.38E-07,1.55371
,,5.39E-07,1.00132,5.39E-07,1.00165,5.39E-07,1.01601,5.39E-07,1.04175,5.39E-07,1.30506,5.39E-07,1.55028,5.39E-07,1.55275
,,5.40E-07,1.00131,5.40E-07,1.00164,5.40E-07,1.01416,5.40E-07,1.04217,5.40E-07,1.29446,5.40E-07,1.54904,5.40E-07,1.55146
,,5.41E-07,1.0013,5.41E-07,1.00163,5.41E-07,1.01253,5.41E-07,1.04257,5.41E-07,1.28424,5.41E-07,1.54632,5.41E-07,1.54995
,,5.42E-07,1.0013,5.42E-07,1.00163,5.42E-07,1.01106,5.42E-07,1.04295,5.42E-07,1.27441,5.42E-07,1.53478,5.42E-07,1.54901
,,5.43E-07,1.00129,5.43E-07,1.00162,5.43E-07,1.00979,5.43E-07,1.0433,5.43E-07,1.26489,5.43E-07,1.54271,5.43E-07,1.54716
,,5.44E-07,1.00129,5.44E-07,1.00161,5.44E-07,1.00869,5.44E-07,1.04364,5.44E-07,1.25569,5.44E-07,1.53503,5.44E-07,1.54621
,,5.45E-07,1.00128,5.45E-07,1.00161,5.45E-07,1.00781,5.45E-07,1.04395,5.45E-07,1.24684,5.45E-07,1.531,5.45E-07,1.54434
,,5.46E-07,1.00128,,,5.46E-07,1.00711,5.46E-07,1.04424,5.46E-07,1.2384,5.46E-07,1.53275,5.46E-07,1.54326
,,5.47E-07,1.00127,,,5.47E-07,1.00662,5.47E-07,1.04451,5.47E-07,1.23033,5.47E-07,1.52824,5.47E-07,1.54146
,,5.48E-07,1.00127,,,5.48E-07,1.00635,5.48E-07,1.04476,5.48E-07,1.22249,5.48E-07,1.52758,5.48E-07,1.5398
,,5.49E-07,1.00126,,,5.49E-07,1.00627,5.49E-07,1.04499,5.49E-07,1.21475,5.49E-07,1.52354,5.49E-07,1.53862
,,5.50E-07,1.00126,,,5.50E-07,1.00637,5.50E-07,1.04519,5.50E-07,1.20756,5.50E-07,1.51294,5.50E-07,1.53666
,,5.51E-07,1.00125,,,5.51E-07,1.00657,5.51E-07,1.04536,5.51E-07,1.20045,5.51E-07,1.51344,5.51E-07,1.53493
,,5.52E-07,1.00125,,,5.52E-07,1.00671,5.52E-07,1.0455,5.52E-07,1.19354,5.52E-07,1.50605,5.52E-07,1.53359
,,5.53E-07,1.00124,,,5.53E-07,1.00676,5.53E-07,1.04558,5.53E-07,1.18707,5.53E-07,1.50495,5.53E-07,1.53196
,,5.54E-07,1.00124,,,5.54E-07,1.00671,5.54E-07,1.04557,5.54E-07,1.18073,5.54E-07,1.49865,5.54E-07,1.53007
,,5.55E-07,1.00123,,,5.55E-07,1.00658,5.55E-07,1.04585,5.55E-07,1.17453,5.55E-07,1.49336,5.55E-07,1.5281
,,5.56E-07,1.00123,,,5.56E-07,1.0064,5.56E-07,1.04819,5.56E-07,1.16869,5.56E-07,1.48519,5.56E-07,1.5262
,,5.57E-07,1.00122,,,5.57E-07,1.00616,5.57E-07,1.0498,5.57E-07,1.16286,5.57E-07,1.47732,5.57E-07,1.52437
,,5.58E-07,1.00122,,,5.58E-07,1.00589,5.58E-07,1.05007,5.58E-07,1.15732,5.58E-07,1.47157,5.58E-07,1.5225
,,5.59E-07,1.00121,,,5.59E-07,1.00559,5.59E-07,1.05018,5.59E-07,1.15207,5.59E-07,1.4644,5.59E-07,1.52061
,,5.60E-07,1.00121,,,5.60E-07,1.00527,5.60E-07,1.04987,5.60E-07,1.14678,5.60E-07,1.45507,5.60E-07,1.51867
,,5.61E-07,1.0012,,,5.61E-07,1.00495,5.61E-07,1.04939,5.61E-07,1.14183,5.61E-07,1.44587,5.61E-07,1.51674
,,5.62E-07,1.0012,,,5.62E-07,1.00463,5.62E-07,1.04855,5.62E-07,1.13695,5.62E-07,1.43533,5.62E-07,1.51486
,,5.63E-07,1.00119,,,5.63E-07,1.00431,5.63E-07,1.04766,5.63E-07,1.13227,5.63E-07,1.42383,5.63E-07,1.5131
,,5.64E-07,1.00119,,,5.64E-07,1.00401,5.64E-07,1.04642,5.64E-07,1.12773,5.64E-07,1.4109,5.64E-07,1.51111
,,5.65E-07,1.00119,,,5.65E-07,1.00371,5.65E-07,1.04496,5.65E-07,1.12337,5.65E-07,1.39503,5.65E-07,1.50871
,,5.66E-07,1.00118,,,5.66E-07,1.00344,5.66E-07,1.04375,5.66E-07,1.11915,5.66E-07,1.37927,5.66E-07,1.50647
,,5.67E-07,1.00118,,,5.67E-07,1.00318,5.67E-07,1.04208,5.67E-07,1.11502,5.67E-07,1.38007,5.67E-07,1.50478
,,5.68E-07,1.00117,,,5.68E-07,1.00295,5.68E-07,1.04078,5.68E-07,1.11103,5.68E-07,1.3805,5.68E-07,1.50244
,,5.69E-07,1.00117,,,5.69E-07,1.00272,5.69E-07,1.03937,5.69E-07,1.10724,5.69E-07,1.38055,5.69E-07,1.50011
,,5.70E-07,1.00116,,,5.70E-07,1.00253,5.70E-07,1.03859,5.70E-07,1.1035,5.70E-07,1.38019,5.70E-07,1.49822
,,5.71E-07,1.00116,,,5.71E-07,1.00235,5.71E-07,1.0382,5.71E-07,1.09989,5.71E-07,1.3794,5.71E-07,1.49855
,,5.72E-07,1.00115,,,5.72E-07,1.00219,5.72E-07,1.03821,5.72E-07,1.09636,5.72E-07,1.37817,5.72E-07,1.50215
,,5.73E-07,1.00115,,,5.73E-07,1.00204,5.73E-07,1.0388,5.73E-07,1.09294,5.73E-07,1.37648,5.73E-07,1.5052
,,5.74E-07,1.00114,,,5.74E-07,1.00191,5.74E-07,1.03973,5.74E-07,1.08967,5.74E-07,1.37429,5.74E-07,1.50528
,,5.75E-07,1.00114,,,5.75E-07,1.00178,5.75E-07,1.04079,5.75E-07,1.08647,5.75E-07,1.3716,5.75E-07,1.50517
,,5.76E-07,1.00114,,,5.76E-07,1.00168,5.76E-07,1.04218,5.76E-07,1.08338,5.76E-07,1.36838,5.76E-07,1.51062
,,5.77E-07,1.00113,,,5.77E-07,1.00158,5.77E-07,1.04365,5.77E-07,1.08039,5.77E-07,1.3646,5.77E-07,1.51465
,,5.78E-07,1.00113,,,5.78E-07,1.00149,5.78E-07,1.04515,5.78E-07,1.0775,5.78E-07,1.36023,5.78E-07,1.51044
,,5.79E-07,1.00112,,,5.79E-07,1.00141,5.79E-07,1.04661,5.79E-07,1.07463,5.79E-07,1.35524,5.79E-07,1.51741
,,5.80E-07,1.00112,,,5.80E-07,1.00133,5.80E-07,1.04796,5.80E-07,1.07193,5.80E-07,1.34957,5.80E-07,1.51994
,,5.81E-07,1.00111,,,5.81E-07,1.00127,5.81E-07,1.04915,5.81E-07,1.06926,5.81E-07,1.34315,5.81E-07,1.51981
,,5.82E-07,1.00111,,,5.82E-07,1.0012,5.82E-07,1.05014,5.82E-07,1.06669,5.82E-07,1.33584,5.82E-07,1.525
,,5.83E-07,1.00111,,,5.83E-07,1.00114,5.83E-07,1.05094,5.83E-07,1.06419,5.83E-07,1.32705,5.83E-07,1.52383
,,5.84E-07,1.0011,,,5.84E-07,1.00109,5.84E-07,1.0515,5.84E-07,1.06181,5.84E-07,1.31706,5.84E-07,1.52798
,,5.85E-07,1.0011,,,5.85E-07,1.00104,5.85E-07,1.05183,5.85E-07,1.05943,5.85E-07,1.30754,5.85E-07,1.52982
,,5.86E-07,1.00109,,,5.86E-07,1.00099,5.86E-07,1.05195,5.86E-07,1.0572,5.86E-07,1.29818,5.86E-07,1.52621
,,5.87E-07,1.00109,,,5.87E-07,1.00094,5.87E-07,1.05183,5.87E-07,1.05497,5.87E-07,1.28926,5.87E-07,1.53478
,,5.88E-07,1.00108,,,5.88E-07,1.0009,5.88E-07,1.05144,5.88E-07,1.05281,5.88E-07,1.28039,5.88E-07,1.53577
,,5.89E-07,1.00108,,,5.89E-07,1.00086,5.89E-07,1.05076,5.89E-07,1.05076,5.89E-07,1.27213,5.89E-07,1.53399
,,5.90E-07,1.00108,,,5.90E-07,1.00082,5.90E-07,1.04988,5.90E-07,1.04874,5.90E-07,1.26394,5.90E-07,1.53225
,,5.91E-07,1.00107,,,5.91E-07,1.00078,5.91E-07,1.04879,5.91E-07,1.04677,5.91E-07,1.25601,5.91E-07,1.53935
,,5.92E-07,1.00107,,,5.92E-07,1.00075,5.92E-07,1.04756,5.92E-07,1.04491,5.92E-07,1.24853,5.92E-07,1.54301
,,5.93E-07,1.00106,,,5.93E-07,1.00042,5.93E-07,1.04615,5.93E-07,1.04303,5.93E-07,1.24111,5.93E-07,1.5452
,,5.94E-07,1.00106,,,5.94E-07,1.00132,5.94E-07,1.04459,5.94E-07,1.04126,5.94E-07,1.23397,5.94E-07,1.54672
,,5.95E-07,1.00106,,,5.95E-07,1.00157,5.95E-07,1.04294,5.95E-07,1.03952,5.95E-07,1.22709,5.95E-07,1.54799
,,5.96E-07,1.00105,,,5.96E-07,1.00166,5.96E-07,1.04113,5.96E-07,1.03784,5.96E-07,1.22026,5.96E-07,1.54843
,,5.97E-07,1.00105,,,5.97E-07,1.00169,5.97E-07,1.03926,5.97E-07,1.0362,5.97E-07,1.21377,5.97E-07,1.54631
,,5.98E-07,1.00105,,,5.98E-07,1.00169,5.98E-07,1.03727,5.98E-07,1.03461,5.98E-07,1.20747,5.98E-07,1.54452
,,5.99E-07,1.00104,,,5.99E-07,1.00169,5.99E-07,1.0352,5.99E-07,1.03307,5.99E-07,1.20141,5.99E-07,1.55005
,,6.00E-07,1.00104,,,6.00E-07,1.00169,6.00E-07,1.03311,6.00E-07,1.03157,6.00E-07,1.19546,6.00E-07,1.55456
,,6.01E-07,1.00103,,,6.01E-07,1.00168,6.01E-07,1.03104,6.01E-07,1.03012,6.01E-07,1.18981,6.01E-07,1.55023
,,6.02E-07,1.00103,,,6.02E-07,1.00168,6.02E-07,1.02897,6.02E-07,1.02998,6.02E-07,1.18423,6.02E-07,1.55317
,,6.03E-07,1.00103,,,6.03E-07,1.00167,6.03E-07,1.02696,6.03E-07,1.03057,6.03E-07,1.17876,6.03E-07,1.55689
,,6.04E-07,1.00102,,,6.04E-07,1.00167,6.04E-07,1.02492,6.04E-07,1.03115,6.04E-07,1.17358,6.04E-07,1.55407
,,6.05E-07,1.00102,,,6.05E-07,1.00166,6.05E-07,1.02298,6.05E-07,1.0317,6.05E-07,1.16849,6.05E-07,1.55759
,,6.06E-07,1.00102,,,6.06E-07,1.00165,6.06E-07,1.02111,6.06E-07,1.03224,6.06E-07,1.16355,6.06E-07,1.55873
,,6.07E-07,1.00101,,,6.07E-07,1.00165,6.07E-07,1.0193,6.07E-07,1.03276,6.07E-07,1.15878,6.07E-07,1.55284
,,6.08E-07,1.00101,,,6.08E-07,1.00164,6.08E-07,1.01754,6.08E-07,1.03326,6.08E-07,1.15412,6.08E-07,1.55894
,,6.09E-07,1.001,,,6.09E-07,1.00164,6.09E-07,1.01591,6.09E-07,1.03374,6.09E-07,1.14959,6.09E-07,1.56218
,,6.10E-07,1.001,,,6.10E-07,1.00163,6.10E-07,1.01441,6.10E-07,1.03421,6.10E-07,1.14516,6.10E-07,1.56198
,,6.11E-07,1.001,,,6.11E-07,1.00162,6.11E-07,1.01298,6.11E-07,1.03465,6.11E-07,1.14089,6.11E-07,1.56132
,,6.12E-07,1.00099,,,6.12E-07,1.00162,6.12E-07,1.01168,6.12E-07,1.03508,6.12E-07,1.13675,6.12E-07,1.56156
,,6.13E-07,1.00099,,,6.13E-07,1.00161,6.13E-07,1.01051,6.13E-07,1.0355,6.13E-07,1.13276,6.13E-07,1.56268
,,6.14E-07,1.00099,,,6.14E-07,1.00161,6.14E-07,1.00946,6.14E-07,1.0359,6.14E-07,1.12882,6.14E-07,1.56361
,,6.15E-07,1.00098,,,6.15E-07,1.0016,6.15E-07,1.00851,6.15E-07,1.03629,6.15E-07,1.12499,6.15E-07,1.5607
,,6.16E-07,1.00098,,,6.16E-07,1.00159,6.16E-07,1.00771,6.16E-07,1.03666,6.16E-07,1.12133,6.16E-07,1.55598
,,6.17E-07,1.00098,,,6.17E-07,1.00159,6.17E-07,1.00702,6.17E-07,1.03702,6.17E-07,1.11772,6.17E-07,1.56287
,,6.18E-07,1.00097,,,6.18E-07,1.00158,6.18E-07,1.00648,6.18E-07,1.03736,6.18E-07,1.11424,6.18E-07,1.55718
,,6.19E-07,1.00097,,,6.19E-07,1.00158,6.19E-07,1.00606,6.19E-07,1.03768,6.19E-07,1.11086,6.19E-07,1.56212
,,6.20E-07,1.00097,,,6.20E-07,1.00157,6.20E-07,1.00578,6.20E-07,1.03799,6.20E-07,1.10752,6.20E-07,1.55391
,,6.21E-07,1.00096,,,6.21E-07,1.00157,6.21E-07,1.00563,6.21E-07,1.03829,6.21E-07,1.10432,6.21E-07,1.55503
,,6.22E-07,1.00096,,,6.22E-07,1.00156,6.22E-07,1.0056,6.22E-07,1.03857,6.22E-07,1.10114,6.22E-07,1.56051
,,6.23E-07,1.00096,,,6.23E-07,1.00156,6.23E-07,1.00567,6.23E-07,1.03884,6.23E-07,1.09809,6.23E-07,1.55157
,,6.24E-07,1.00095,,,6.24E-07,1.00155,6.24E-07,1.00584,6.24E-07,1.0391,6.24E-07,1.09518,6.24E-07,1.55487
,,6.25E-07,1.00095,,,6.25E-07,1.00154,6.25E-07,1.00598,6.25E-07,1.03934,6.25E-07,1.09224,6.25E-07,1.55881
,,6.26E-07,1.00094,,,6.26E-07,1.00154,6.26E-07,1.00605,6.26E-07,1.03957,6.26E-07,1.08942,6.26E-07,1.55478
,,6.27E-07,1.00094,,,6.27E-07,1.00153,6.27E-07,1.00607,6.27E-07,1.03978,6.27E-07,1.08675,6.27E-07,1.55524
,,6.28E-07,1.00094,,,6.28E-07,1.00153,6.28E-07,1.00603,6.28E-07,1.03997,6.28E-07,1.08408,6.28E-07,1.55552
,,6.29E-07,1.00094,,,6.29E-07,1.00152,6.29E-07,1.00594,6.29E-07,1.04015,6.29E-07,1.0815,6.29E-07,1.54659
,,6.30E-07,1.00093,,,6.30E-07,1.00152,6.30E-07,1.00581,6.30E-07,1.0403,6.30E-07,1.07894,6.30E-07,1.54471
,,6.31E-07,1.00093,,,6.31E-07,1.00151,6.31E-07,1.00566,6.31E-07,1.04043,6.31E-07,1.07649,6.31E-07,1.54897
,,6.32E-07,1.00093,,,6.32E-07,1.00151,6.32E-07,1.00547,6.32E-07,1.04053,6.32E-07,1.0741,6.32E-07,1.54858
,,6.33E-07,1.00092,,,6.33E-07,1.0015,6.33E-07,1.00527,6.33E-07,1.04057,6.33E-07,1.07178,6.33E-07,1.54273
,,6.34E-07,1.00092,,,6.34E-07,1.0015,6.34E-07,1.00505,6.34E-07,1.04046,6.34E-07,1.06949,6.34E-07,1.53871
,,6.35E-07,1.00092,,,6.35E-07,1.00149,6.35E-07,1.00482,6.35E-07,1.04175,6.35E-07,1.06733,6.35E-07,1.54298
,,6.36E-07,1.00091,,,6.36E-07,1.00149,6.36E-07,1.00458,6.36E-07,1.04296,6.36E-07,1.06514,6.36E-07,1.53919
,,6.37E-07,1.00091,,,6.37E-07,1.00148,6.37E-07,1.00435,6.37E-07,1.04444,6.37E-07,1.06308,6.37E-07,1.53944
,,6.38E-07,1.00091,,,6.38E-07,1.00148,6.38E-07,1.00411,6.38E-07,1.04508,6.38E-07,1.06105,6.38E-07,1.53374
,,6.39E-07,1.0009,,,6.39E-07,1.00147,6.39E-07,1.00389,6.39E-07,1.04517,6.39E-07,1.05905,6.39E-07,1.5304
,,6.40E-07,1.0009,,,6.40E-07,1.00147,6.40E-07,1.00366,6.40E-07,1.04518,6.40E-07,1.05712,6.40E-07,1.53048
,,6.41E-07,1.0009,,,6.41E-07,1.00146,6.41E-07,1.00344,6.41E-07,1.04499,6.41E-07,1.05523,6.41E-07,1.52881
,,6.42E-07,1.00089,,,6.42E-07,1.00146,6.42E-07,1.00324,6.42E-07,1.04465,6.42E-07,1.05339,6.42E-07,1.52317
,,6.43E-07,1.00089,,,6.43E-07,1.00145,6.43E-07,1.00304,6.43E-07,1.04414,6.43E-07,1.05162,6.43E-07,1.5176
,,6.44E-07,1.00089,,,6.44E-07,1.00145,6.44E-07,1.00286,6.44E-07,1.04342,6.44E-07,1.04984,6.44E-07,1.51413
,,6.45E-07,1.00088,,,6.45E-07,1.00144,6.45E-07,1.00269,6.45E-07,1.04267,6.45E-07,1.04817,6.45E-07,1.51492
,,6.46E-07,1.00088,,,6.46E-07,1.00144,6.46E-07,1.00253,6.46E-07,1.04173,6.46E-07,1.04652,6.46E-07,1.51019
,,6.47E-07,1.00088,,,6.47E-07,1.00143,6.47E-07,1.00237,6.47E-07,1.04067,6.47E-07,1.04489,6.47E-07,1.5081
,,6.48E-07,1.00088,,,6.48E-07,1.00143,6.48E-07,1.00224,6.48E-07,1.03968,6.48E-07,1.04332,6.48E-07,1.50247
,,6.49E-07,1.00087,,,6.49E-07,1.00142,6.49E-07,1.00211,6.49E-07,1.03862,6.49E-07,1.04181,6.49E-07,1.50127
,,6.50E-07,1.00087,,,6.50E-07,1.00142,6.50E-07,1.00199,6.50E-07,1.03752,6.50E-07,1.04029,6.50E-07,1.49639
,,6.51E-07,1.00087,,,6.51E-07,1.00141,6.51E-07,1.00188,6.51E-07,1.03647,6.51E-07,1.03885,6.51E-07,1.49245
,,6.52E-07,1.00086,,,6.52E-07,1.00141,6.52E-07,1.00178,6.52E-07,1.03563,6.52E-07,1.03742,6.52E-07,1.48842
,,6.53E-07,1.00086,,,6.53E-07,1.0014,6.53E-07,1.00169,6.53E-07,1.03496,6.53E-07,1.03604,6.53E-07,1.48443
,,6.54E-07,1.00086,,,6.54E-07,1.0014,6.54E-07,1.0016,6.54E-07,1.0348,6.54E-07,1.03468,6.54E-07,1.47895
,,6.55E-07,1.00085,,,6.55E-07,1.00139,6.55E-07,1.00153,6.55E-07,1.03492,6.55E-07,1.0334,6.55E-07,1.4752
,,6.56E-07,1.00085,,,6.56E-07,1.00139,6.56E-07,1.00145,6.56E-07,1.03536,6.56E-07,1.0321,6.56E-07,1.46816
,,6.57E-07,1.00085,,,6.57E-07,1.00138,6.57E-07,1.00139,6.57E-07,1.0359,6.57E-07,1.03086,6.57E-07,1.46192
,,6.58E-07,1.00085,,,6.58E-07,1.00138,6.58E-07,1.00133,6.58E-07,1.03684,6.58E-07,1.02964,6.58E-07,1.45799
,,6.59E-07,1.00084,,,6.59E-07,1.00137,6.59E-07,1.00127,6.59E-07,1.03789,6.59E-07,1.02845,6.59E-07,1.45417
,,6.60E-07,1.00084,,,6.60E-07,1.00137,6.60E-07,1.00121,6.60E-07,1.03916,6.60E-07,1.02791,6.60E-07,1.4471
,,6.61E-07,1.00084,,,6.61E-07,1.00136,6.61E-07,1.00116,6.61E-07,1.04046,6.61E-07,1.02839,6.61E-07,1.43995
,,6.62E-07,1.00083,,,6.62E-07,1.00136,6.62E-07,1.00111,6.62E-07,1.0417,6.62E-07,1.02886,6.62E-07,1.43112
,,6.63E-07,1.00083,,,6.63E-07,1.00136,6.63E-07,1.00107,6.63E-07,1.0431,6.63E-07,1.02932,6.63E-07,1.42191
,,6.64E-07,1.00083,,,6.64E-07,1.00135,6.64E-07,1.00103,6.64E-07,1.04432,6.64E-07,1.02976,6.64E-07,1.4107
,,6.65E-07,1.00083,,,6.65E-07,1.00135,6.65E-07,1.00099,6.65E-07,1.04552,6.65E-07,1.03019,6.65E-07,1.39886
,,6.66E-07,1.00082,,,6.66E-07,1.00134,6.66E-07,1.00095,6.66E-07,1.04664,6.66E-07,1.03061,6.66E-07,1.3857
,,6.67E-07,1.00082,,,6.67E-07,1.00134,6.67E-07,1.00091,6.67E-07,1.04762,6.67E-07,1.031,6.67E-07,1.38653
,,6.68E-07,1.00082,,,6.68E-07,1.00133,6.68E-07,1.00088,6.68E-07,1.04849,6.68E-07,1.03139,6.68E-07,1.38709
,,6.69E-07,1.00082,,,6.69E-07,1.00133,6.69E-07,1.00084,6.69E-07,1.0492,6.69E-07,1.03177,6.69E-07,1.38748
,,6.70E-07,1.00081,,,6.70E-07,1.00132,6.70E-07,1.00081,6.70E-07,1.04979,6.70E-07,1.03214,6.70E-07,1.38765
,,6.71E-07,1.00081,,,6.71E-07,1.00132,6.71E-07,1.00078,6.71E-07,1.05021,6.71E-07,1.03249,6.71E-07,1.38757
,,6.72E-07,1.00081,,,6.72E-07,1.00132,6.72E-07,1.00075,6.72E-07,1.05048,6.72E-07,1.03283,6.72E-07,1.38724
,,6.73E-07,1.0008,,,6.73E-07,1.00131,6.73E-07,1.00073,6.73E-07,1.05062,6.73E-07,1.03315,6.73E-07,1.38665
,,6.74E-07,1.0008,,,6.74E-07,1.00131,6.74E-07,1.0007,6.74E-07,1.0506,6.74E-07,1.03347,6.74E-07,1.38579
,,6.75E-07,1.0008,,,6.75E-07,1.0013,6.75E-07,1.00043,6.75E-07,1.05041,6.75E-07,1.03377,6.75E-07,1.38465
